"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 10, 2018","2,793.84","2,788.56","2,795.58","2,786.24","-","0.35%"
"Jul 09, 2018","2,784.17","2,768.51","2,784.65","2,768.51","-","0.88%"
"Jul 06, 2018","2,759.82","2,737.68","2,764.41","2,733.52","-","0.85%"
"Jul 05, 2018","2,736.61","2,724.19","2,737.83","2,716.02","-","0.86%"
"Jul 03, 2018","2,713.22","2,733.27","2,736.58","2,711.16","-","-0.49%"
"Jul 02, 2018","2,726.71","2,704.95","2,727.26","2,698.95","-","0.31%"
"Jun 29, 2018","2,718.37","2,727.13","2,743.26","2,718.03","-","0.08%"
"Jun 28, 2018","2,716.31","2,698.69","2,724.34","2,691.99","-","0.62%"
"Jun 27, 2018","2,699.63","2,728.45","2,746.09","2,699.38","-","-0.86%"
"Jun 26, 2018","2,723.06","2,722.12","2,732.91","2,715.60","-","0.22%"
"Jun 25, 2018","2,717.07","2,742.94","2,742.94","2,698.67","-","-1.37%"
"Jun 22, 2018","2,754.88","2,760.79","2,764.17","2,752.68","-","0.19%"
"Jun 21, 2018","2,749.76","2,769.28","2,769.28","2,744.39","-","-0.63%"
"Jun 20, 2018","2,767.32","2,769.73","2,774.86","2,763.91","-","0.17%"
"Jun 19, 2018","2,762.59","2,752.01","2,765.05","2,743.19","-","-0.40%"
"Jun 18, 2018","2,773.75","2,765.79","2,774.99","2,757.12","-","-0.21%"
"Jun 15, 2018","2,779.66","2,777.78","2,782.81","2,761.73","-","-0.10%"
"Jun 14, 2018","2,782.49","2,783.21","2,789.06","2,776.52","-","0.25%"
"Jun 13, 2018","2,775.63","2,787.94","2,791.47","2,774.65","-","-0.40%"
"Jun 12, 2018","2,786.85","2,785.60","2,789.80","2,778.78","-","0.17%"
"Jun 11, 2018","2,782.00","2,780.18","2,790.21","2,780.17","-","0.11%"
"Jun 08, 2018","2,779.03","2,765.84","2,779.39","2,763.59","-","0.31%"
"Jun 07, 2018","2,770.37","2,774.84","2,779.90","2,760.16","-","-0.07%"
"Jun 06, 2018","2,772.35","2,753.25","2,772.39","2,748.46","-","0.86%"
"Jun 05, 2018","2,748.80","2,748.46","2,752.61","2,739.51","-","0.07%"
"Jun 04, 2018","2,746.87","2,741.67","2,749.16","2,740.54","-","0.45%"
"Jun 01, 2018","2,734.62","2,718.70","2,736.93","2,718.70","-","1.08%"
"May 31, 2018","2,705.27","2,720.98","2,722.50","2,700.68","-","-0.69%"
"May 30, 2018","2,724.01","2,702.43","2,729.34","2,702.43","-","1.27%"
"May 29, 2018","2,689.86","2,705.11","2,710.67","2,676.81","-","-1.16%"
"May 25, 2018","2,721.33","2,723.60","2,727.36","2,714.99","-","-0.24%"
"May 24, 2018","2,727.76","2,730.94","2,731.97","2,707.38","-","-0.20%"
"May 23, 2018","2,733.29","2,713.98","2,733.33","2,709.54","-","0.32%"
"May 22, 2018","2,724.44","2,738.34","2,742.24","2,721.88","-","-0.31%"
"May 21, 2018","2,733.01","2,725.95","2,739.19","2,725.70","-","0.74%"
"May 18, 2018","2,712.97","2,717.35","2,719.50","2,709.18","-","-0.26%"
"May 17, 2018","2,720.13","2,719.71","2,731.96","2,711.36","-","-0.09%"
"May 16, 2018","2,722.46","2,712.62","2,727.76","2,712.17","-","0.41%"
"May 15, 2018","2,711.45","2,718.59","2,718.59","2,701.91","-","-0.68%"
"May 14, 2018","2,730.13","2,733.37","2,742.10","2,725.47","-","0.09%"
"May 11, 2018","2,727.72","2,722.70","2,732.86","2,717.45","-","0.17%"
"May 10, 2018","2,723.07","2,705.02","2,726.11","2,704.54","-","0.94%"
"May 09, 2018","2,697.79","2,678.12","2,701.27","2,674.14","-","0.97%"
"May 08, 2018","2,671.92","2,670.26","2,676.34","2,655.20","-","-0.03%"
"May 07, 2018","2,672.63","2,669.36","2,683.35","2,664.70","-","0.35%"
"May 04, 2018","2,663.42","2,621.45","2,670.93","2,615.32","-","1.28%"
"May 03, 2018","2,629.73","2,628.08","2,637.14","2,594.62","-","-0.23%"
"May 02, 2018","2,635.67","2,654.24","2,660.87","2,631.70","-","-0.72%"
"May 01, 2018","2,654.80","2,643.64","2,655.27","2,625.41","-","0.25%"
"Apr 30, 2018","2,648.05","2,675.05","2,682.92","2,648.04","-","-0.82%"
"Apr 27, 2018","2,669.91","2,675.47","2,677.35","2,659.01","-","0.11%"
"Apr 26, 2018","2,666.94","2,651.65","2,676.48","2,647.16","-","1.04%"
"Apr 25, 2018","2,639.40","2,634.92","2,645.30","2,612.67","-","0.18%"
"Apr 24, 2018","2,634.56","2,680.80","2,683.55","2,617.32","-","-1.34%"
"Apr 23, 2018","2,670.29","2,675.40","2,682.86","2,657.99","-","0.01%"
"Apr 20, 2018","2,670.14","2,692.56","2,693.94","2,660.61","-","-0.85%"
"Apr 19, 2018","2,693.13","2,701.16","2,702.84","2,681.90","-","-0.57%"
"Apr 18, 2018","2,708.64","2,710.11","2,717.49","2,703.63","-","0.08%"
"Apr 17, 2018","2,706.39","2,692.74","2,713.34","2,692.05","-","1.07%"
"Apr 16, 2018","2,677.84","2,670.10","2,686.49","2,665.16","-","0.81%"
"Apr 13, 2018","2,656.30","2,676.90","2,680.26","2,645.05","-","-0.29%"
"Apr 12, 2018","2,663.99","2,653.83","2,674.72","2,653.83","-","0.83%"
"Apr 11, 2018","2,642.19","2,643.89","2,661.43","2,639.25","-","-0.55%"
"Apr 10, 2018","2,656.87","2,638.41","2,665.45","2,635.78","-","1.67%"
"Apr 09, 2018","2,613.16","2,617.18","2,653.55","2,610.79","-","0.33%"
"Apr 06, 2018","2,604.47","2,645.82","2,656.88","2,586.27","-","-2.19%"
"Apr 05, 2018","2,662.84","2,657.36","2,672.08","2,649.58","-","0.69%"
"Apr 04, 2018","2,644.69","2,584.04","2,649.86","2,573.61","-","1.16%"
"Apr 03, 2018","2,614.45","2,592.17","2,619.14","2,575.49","-","1.26%"
"Apr 02, 2018","2,581.88","2,633.45","2,638.30","2,553.80","-","-2.23%"
"Mar 29, 2018","2,640.87","2,614.41","2,659.07","2,609.72","-","1.38%"
"Mar 28, 2018","2,605.00","2,611.30","2,632.65","2,593.06","-","-0.29%"
"Mar 27, 2018","2,612.62","2,667.57","2,674.78","2,596.12","-","-1.73%"
"Mar 26, 2018","2,658.55","2,619.35","2,661.36","2,601.81","-","2.72%"
"Mar 23, 2018","2,588.26","2,646.71","2,657.67","2,585.89","-","-2.10%"
"Mar 22, 2018","2,643.69","2,691.36","2,695.68","2,641.59","-","-2.52%"
"Mar 21, 2018","2,711.93","2,714.99","2,739.14","2,709.79","-","-0.18%"
"Mar 20, 2018","2,716.94","2,715.05","2,724.22","2,710.05","-","0.15%"
"Mar 19, 2018","2,712.92","2,741.38","2,741.38","2,694.59","-","-1.42%"
"Mar 16, 2018","2,752.01","2,750.57","2,761.85","2,749.97","-","0.17%"
"Mar 15, 2018","2,747.33","2,754.27","2,763.03","2,741.47","-","-0.08%"
"Mar 14, 2018","2,749.48","2,774.06","2,777.11","2,744.38","-","-0.57%"
"Mar 13, 2018","2,765.31","2,792.31","2,801.90","2,758.68","-","-0.64%"
"Mar 12, 2018","2,783.02","2,790.54","2,796.98","2,779.26","-","-0.13%"
"Mar 09, 2018","2,786.57","2,752.91","2,786.57","2,751.54","-","1.74%"
"Mar 08, 2018","2,738.97","2,732.75","2,740.45","2,722.65","-","0.45%"
"Mar 07, 2018","2,726.80","2,710.18","2,730.60","2,701.74","-","-0.05%"
"Mar 06, 2018","2,728.12","2,730.18","2,732.08","2,711.26","-","0.26%"
"Mar 05, 2018","2,720.94","2,681.06","2,728.09","2,675.75","-","1.10%"
"Mar 02, 2018","2,691.25","2,658.89","2,696.25","2,647.32","-","0.51%"
"Mar 01, 2018","2,677.67","2,715.22","2,730.89","2,659.65","-","-1.33%"
"Feb 28, 2018","2,713.83","2,753.78","2,761.52","2,713.54","-","-1.11%"
"Feb 27, 2018","2,744.28","2,780.45","2,789.15","2,744.22","-","-1.27%"
"Feb 26, 2018","2,779.60","2,757.37","2,780.64","2,753.78","-","1.18%"
"Feb 23, 2018","2,747.30","2,715.80","2,747.76","2,713.74","-","1.60%"
"Feb 22, 2018","2,703.96","2,710.42","2,731.26","2,697.77","-","0.10%"
"Feb 21, 2018","2,701.33","2,720.53","2,747.75","2,701.29","-","-0.55%"
"Feb 20, 2018","2,716.26","2,722.99","2,737.60","2,706.76","-","-0.58%"
"Feb 16, 2018","2,732.22","2,727.14","2,754.42","2,725.11","-","0.04%"
"Feb 15, 2018","2,731.20","2,713.46","2,731.51","2,689.82","-","1.21%"
"Feb 14, 2018","2,698.63","2,651.21","2,702.10","2,648.87","-","1.34%"
"Feb 13, 2018","2,662.94","2,646.27","2,668.84","2,637.08","-","0.26%"
"Feb 12, 2018","2,656.00","2,636.75","2,672.61","2,622.45","-","1.39%"
"Feb 09, 2018","2,619.55","2,601.78","2,638.67","2,532.69","-","1.49%"
"Feb 08, 2018","2,581.00","2,685.01","2,685.27","2,580.56","-","-3.75%"
"Feb 07, 2018","2,681.66","2,690.95","2,727.67","2,681.33","-","-0.50%"
"Feb 06, 2018","2,695.14","2,614.78","2,701.04","2,593.07","-","1.74%"
"Feb 05, 2018","2,648.94","2,741.06","2,763.39","2,638.17","-","-4.10%"
"Feb 02, 2018","2,762.13","2,808.92","2,808.92","2,759.97","-","-2.12%"
"Feb 01, 2018","2,821.98","2,816.45","2,835.96","2,812.70","-","-0.06%"
"Jan 31, 2018","2,823.81","2,832.41","2,839.26","2,813.04","-","0.05%"
"Jan 30, 2018","2,822.43","2,832.74","2,837.75","2,818.27","-","-1.09%"
"Jan 29, 2018","2,853.53","2,867.23","2,870.62","2,851.48","-","-0.67%"
